Date,Actual_Direction,Predicted_Direction,Predicted_Probability,Correct
2022-04-22,1,1,0.602789428298092,True
2022-04-25,0,1,0.5676506946653322,False
2022-04-26,1,1,0.6157155572494207,True
2022-04-27,1,1,0.598011383653841,True
2022-04-28,0,1,0.605362790609618,False
2022-04-29,1,1,0.6341192090230551,True
2022-05-02,1,1,0.5859807497663666,True
2022-05-03,1,1,0.5789961681229172,True
2022-05-04,0,1,0.5574828958698531,False
2022-05-05,0,1,0.63336427501635,False
2022-05-06,0,1,0.5186017988526482,False
2022-05-09,1,1,0.5777845688909564,True
2022-05-10,0,1,0.5199124972035596,False
2022-05-11,0,1,0.6094620206196893,False
2022-05-12,1,1,0.5785113836387669,True
2022-05-13,0,1,0.5505347505002339,False
2022-05-16,1,1,0.5794745646420651,True
2022-05-17,0,1,0.551117582413306,False
2022-05-18,0,1,0.6139386088992854,False
2022-05-19,1,0,0.48858320217186574,False
2022-05-20,1,1,0.5427213884747094,True
2022-05-23,0,1,0.5030707159579354,False
2022-05-24,1,1,0.6267912884754785,True
2022-05-25,1,1,0.5245881699998255,True
2022-05-26,1,1,0.513644236314794,True
2022-05-27,0,1,0.5224730319347126,False
2022-05-31,0,1,0.5289343259109365,False
2022-06-01,1,0,0.49367477909069113,False
2022-06-02,0,0,0.4142225658654076,True
2022-06-03,1,1,0.5192361799776783,True
2022-06-06,1,1,0.5030923312346,True
2022-06-07,0,1,0.5293224508522387,False
2022-06-08,0,0,0.4868588895990652,True
2022-06-09,0,1,0.5343458366873305,False
2022-06-10,0,1,0.5194937915498592,False
2022-06-13,0,1,0.5419787349306096,False
2022-06-14,1,1,0.5261796722067736,True
2022-06-15,0,1,0.5502883089761722,False
2022-06-16,1,1,0.6602299701648113,True
2022-06-17,1,1,0.5954950769007837,True
2022-06-21,0,1,0.566514476163089,False
2022-06-22,1,1,0.6015851625505976,True
2022-06-23,1,1,0.6055359934938952,True
2022-06-24,0,1,0.5171079844646226,False
2022-06-27,0,1,0.5378408232469934,False
2022-06-28,0,1,0.5403739090370839,False
2022-06-29,0,1,0.5180310849157548,False
2022-06-30,1,1,0.5309720468365495,True
2022-07-01,1,0,0.4957742147968357,False
2022-07-05,1,1,0.5323013334913729,True
2022-07-06,1,1,0.525501596761251,True
2022-07-07,0,1,0.5091512144132149,False
2022-07-08,0,0,0.49995140283642153,True
2022-07-11,0,1,0.5406228214389736,False
2022-07-12,0,1,0.5213722585008073,False
2022-07-13,0,1,0.5080539305951215,False
2022-07-14,1,1,0.5401048816820068,True
2022-07-15,0,1,0.5397883434654039,False
2022-07-18,1,1,0.6009223405443388,True
2022-07-19,1,1,0.503507040606203,True
2022-07-20,1,1,0.5219193587618949,True
2022-07-21,0,1,0.5016149464173875,False
2022-07-22,1,1,0.5217216095909097,True
2022-07-25,0,0,0.46113445687854354,True
2022-07-26,1,1,0.5171216716647837,True
2022-07-27,1,0,0.4931174326278745,False
2022-07-28,1,1,0.5320712267976303,True
2022-07-29,0,1,0.5266085414770597,False
2022-08-01,0,1,0.5051280231908685,False
2022-08-02,1,0,0.49889808049681716,False
2022-08-03,0,0,0.47261124677088906,True
2022-08-04,0,1,0.5053708455264473,False
2022-08-05,0,0,0.4990335903285443,True
2022-08-08,0,1,0.5163538615980076,False
2022-08-09,1,1,0.506734863695632,True
2022-08-10,0,1,0.5319323099106106,False
2022-08-11,1,1,0.5415850521893087,True
2022-08-12,1,1,0.5120423551939186,True
2022-08-15,1,1,0.5059455252610805,True
2022-08-16,0,0,0.4787213548061118,True
2022-08-17,1,1,0.5342601007075979,True
2022-08-18,0,1,0.5029406905779776,False
2022-08-19,0,1,0.5496441749134372,False
2022-08-22,0,1,0.5578336175917658,False
2022-08-23,1,1,0.5649640630135975,True
2022-08-24,1,1,0.5803775499024311,True
2022-08-25,0,1,0.5773487243543319,False
2022-08-26,0,1,0.6443455739548951,False
2022-08-29,0,1,0.5806334585150322,False
2022-08-30,0,1,0.6136504995288783,False
2022-08-31,1,1,0.6066983432410381,True
2022-09-01,0,1,0.6600113571515269,False
2022-09-02,0,1,0.64856257791843,False
2022-09-06,1,1,0.6406032169309958,True
2022-09-07,1,1,0.6166372015386843,True
2022-09-08,1,1,0.6255269020445582,True
2022-09-09,1,1,0.6194868054362842,True
2022-09-12,0,1,0.5537665236862273,False
2022-09-13,1,1,0.5925657240507999,True
2022-09-14,0,1,0.5279070022934088,False
2022-09-15,0,1,0.5692719869116362,False
